	[]
33216841	['urothelial bladder carcinoma', 'breast cancer', 'bladder cancer', 'bladder carcinoma']
32481570	['lymphoblastic leukemia', 'acute lymphoblastic leukemia', 'leukemia', 'lymphoma', 'pancreatic cancer']
27887656	['small cell lung cancer', 'prostate cancer', 'squamous cell carcinoma', 'pancreatic cancer', 'ovarian cancer', 'gastrointestinal', 'nsclc', 'melanoma', 'carcinoma of the head and neck', 'breast cancer', 'colon cancer', 'rectal cancer', 'non-small cell lung cancer', 'colorectal cancer', 'lung carcinoma', 'squamous cell carcinoma of the head and neck', 'gastric cancer', 'lung cancer']
32481570	['sarcoma', 'ovarian cancer', 'breast cancer', 'melanoma', 'neuroblastoma', 'acute promyelocytic leukaemia', 'pancreatic cancer', 'renal cell carcinoma', 'metastatic cancer', 'lung cancer']
30496290	['glioma', 'hepatocellular carcinoma', 'squamous cell carcinoma', 'laryngeal squamous cell carcinoma', 'breast cancer', 'colorectal cancer', 'rectal cancer', 'gastric cancer', 'colon carcinoma']
32973401	['lymphoblastic leukemia', 'multiple myeloma', 'acute lymphoblastic leukemia', 'breast cancer', 'myeloid leukemia', 'leukemia', 'melanoma', 'myeloma', 'hodgkin lymphoma', 'acute myeloid leukemia', 'lung cancer', 'glioma', 'non-small cell lung cancer', 'myelogenous leukemia', ' aml ', 'lymphoma', 'cervical cancer', 'lymphoid leukemia', 'small cell lung cancer', 'hepatocellular carcinoma', 'chronic lymphocytic leukemia', 'b-cell lymphoma', 'glioblastoma', 'non-hodgkin lymphoma', 'gastric cancer']
31288376	['gastrointestinal', 'colon cancer', 'colorectal adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'rectal adenocarcinoma']
32973401	['lymphoblastic leukemia', 'sarcoma', 'myeloma', 'multiple myeloma', 'acute lymphoblastic leukemia', 'synovial sarcoma', 'diffuse large b-cell lymphoma', 'leukemia', 'rectal cancer', 'b-cell lymphoma', 'lymphoma', 'colorectal cancer', 'melanoma', 'hodgkin lymphoma', 'non-hodgkin lymphoma', 'lung adenocarcinoma']
30496290	['sarcoma', 'breast cancer', 'osteosarcoma', 'lymphoma', 'follicular lymphoma']
32668616	['breast cancer', 'colon cancer', 'nasopharyngeal carcinoma', 'colorectal cancer', 'rectal cancer', 'retinoblastoma', 'colon adenocarcinoma']
28891793	['lymphoblastic leukemia', 'prostate cancer', 'acute lymphoblastic leukemia', 'breast cancer', 'colon cancer', 'myeloid leukemia', 'leukemia', 'lymphoma', 'chronic myeloid leukemia', 'lung adenocarcinoma']
32668616	['colorectal cancer', 'rectal cancer', 'colon cancer']
33344921	['gastrointestinal', 'brain tumors', 'bladder cancer', 'gallbladder cancer', 'colon cancer', 'rectal cancer', 'malt lymphoma', 'lymphoma', 'colorectal cancer', 'melanoma', 'pancreatic ductal adenocarcinoma', 'gastric cancer', 'lung cancer']
31500168	['small cell lung cancer', 'hepatocellular carcinoma', 'ovarian cancer', 'colon cancer', 'rectal cancer', 'non-small cell lung cancer', 'colorectal cancer', 'pancreatic cancer', 'lung adenocarcinoma', 'lung cancer']
32329713	['small cell lung cancer', 'squamous carcinoma', 'squamous cell carcinoma', 'melanoma', 'pancreatic tumor', 'rectal cancer', 'non-small cell lung cancer', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung squamous cell carcinoma', 'lung cancer']
32668616	['sarcoma', 'gastrointestinal', 'colon adenocarcinoma', 'colon cancer']
28891793	['prostate cancer']
33344921	['dcis', 'breast cancer', 'colorectal adenocarcinoma', 'pancreatic cancer', 'rectal adenocarcinoma', 'esophageal cancer']
32668616	['colon cancer']
33344921	['breast cancer', 'colorectal adenocarcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'rectal adenocarcinoma', 'lung cancer']
30158952	['hepatocellular carcinoma', 'cholangiocarcinoma', 'primary liver cancer', 'intrahepatic cholangiocarcinoma', 'bladder cancer', 'gallbladder cancer', 'liver cancer', 'pancreatic ductal adenocarcinoma']
29686284	['prostate cancer', 'breast cancer', 'prostatic cancer', 'melanoma', 'lung cancer']
32668616	['prostate cancer', 'gastrointestinal', 'breast cancer', 'colon cancer', 'liver cancer', 'colon carcinoma', 'colorectal cancer', 'rectal cancer', 'lung cancer']
30158952	['cholangiocarcinoma', 'primary liver cancer', 'breast cancer', 'intrahepatic cholangiocarcinoma', 'neurofibroma', 'liver cancer', 'pancreatic adenocarcinoma', 'biliary tract cancer']
32481570	['lymphoblastic leukemia', 'malignant pleural mesothelioma', 'mesothelioma', 'leukemia', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma']
28383487	['sarcoma', 'breast cancer', 'pancreatic tumor', 'pancreatic adenocarcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma']
30158952	['bladder cancer', 'gallbladder cancer', 'colorectal cancer', 'rectal cancer', 'pancreatic ductal adenocarcinoma']
28383487	['pancreatic ductal carcinoma', 'neuroendocrine tumor', 'melanoma', 'pancreatic tumor', 'liver cancer', 'pancreatic adenocarcinoma', 'pancreatic cancer']
32329713	['squamous cell carcinoma', 'pancreatic tumor', 'pancreatic adenocarcinoma', 'lymphoma', 'pancreatic cancer', 'lung squamous cell carcinoma']
28383487	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic adenocarcinoma', 'pancreatic tumor']
30674894	['small cell lung cancer', 'sarcoma', 'skin cancer', 'breast cancer', 'nsclc', 'lung cancer', 'carcinosarcoma', 'leukemia', 'non-small cell lung cancer', 'thymoma', 'breast tumor', 'mammary tumor']
33216841	['urothelial bladder carcinoma', 'hairy cell leukemia', 'bladder carcinoma', 'brain cancer', 'squamous cell carcinoma', 'transitional cell carcinoma', 'breast cancer', 'bladder cancer', 'colon cancer', 'leukemia', 'lymphoma', 'colorectal cancer', 'rectal cancer', 'ovarian cancer']
32455818	['sarcoma', 'chondrosarcoma', 'ovarian cancer', 'prostate cancer', 'breast cancer', 'melanoma', 'osteosarcoma', 'myeloid leukemia', 'leukemia', 'rectal cancer', 'lymphoma', 'colorectal cancer', 'acute myeloid leukemia', 'retinoblastoma', 'gastric cancer', 'lung cancer']
30158952	['colorectal cancer', 'rectal cancer', 'biliary tract cancer', 'cholangiocarcinoma']
32455818	['merkel cell carcinoma', 'squamous cell carcinoma', 'multiple myeloma', 'breast cancer', 'neuroblastoma', 'myeloid leukemia', 'leukemia', 'uveal melanoma', 'melanoma', 'squamous cell carcinoma of the head and neck', 'retinoblastoma', 'hematological tumors', 'myeloma', 'ovarian cancer', 'lung cancer', 'prostate cancer', 'nsclc', 'lung carcinoma', 'rectal cancer', 'myelofibrosis', ' aml ', 'lymphoma', ' cll ', 'breast carcinoma', 'skin cancer', 'carcinoma of the head and neck', 'chronic lymphocytic leukemia', 'myeloproliferative neoplasm', 'colorectal cancer', 'pancreatic cancer', 'lymphoid cancer']
30158952	['cholangiocarcinoma', 'bile duct cancer', 'bladder cancer', 'gallbladder cancer', 'pancreatic adenocarcinoma', 'biliary tract cancer']
32455818	['sarcoma', 'merkel cell carcinoma', 'squamous cell carcinoma', 'rhabdomyosarcoma', 'breast cancer', 'leukemia', 'melanoma', 'myeloma', 'hematological tumors', 'lung cancer', 'nsclc', 'hematologic cancer', 'osteosarcoma', ' aml ', 'cervical cancer', 'skin cancer', 'pancreatic cancer', 'glioblastoma', 'lung squamous cell carcinoma']
30158952	['sarcoma', 'hepatocellular carcinoma', 'cholangiocarcinoma', 'primary liver cancer', 'bile duct cancer', 'intrahepatic cholangiocarcinoma', 'liver cancer', 'lymphoma', 'hodgkin lymphoma', 'non-hodgkin lymphoma', 'biliary tract cancer']
30674894	['glioma', 'breast cancer', 'liver cancer', 'melanoma', 'breast tumor', 'mammary tumor']
30158952	['hepatocellular carcinoma', 'cholangiocarcinoma', 'primary liver cancer', 'bile duct cancer', 'intrahepatic cholangiocarcinoma', 'bladder cancer', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'biliary tract cancer', 'metastatic cancer']
29765046	['prostate cancer', 'gastrointestinal', 'breast cancer', 'liver cancer', 'gastric cancer', 'gastric carcinoma']
31500168	['small cell lung cancer', 'glioma', 'prostate cancer', 'ovarian cancer', 'breast cancer', 'bladder cancer', 'pancreatic tumor', 'colon cancer', 'pancreatic adenocarcinoma', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'renal cell carcinoma', 'lung cancer']
32973401	['small cell lung cancer', 'sarcoma', 'hepatocellular carcinoma', 'breast cancer', 'melanoma', 'lung cancer', 'myeloid leukemia', 'leukemia', 'non-small cell lung cancer', 'lymphoma', 'acute myeloid leukemia', 'glioblastoma', 'lung adenocarcinoma', 'gastric cancer', 'lymphoid leukemia']
30674894	['breast carcinoma', 'breast cancer', 'lung cancer', 'myeloid leukemia', 'invasive lobular carcinoma', 'leukemia', 'mammary carcinoma', 'acute myeloid leukemia', 'breast tumor', 'mammary tumor']
29765046	['prostate cancer', 'endometrial cancer', 'breast cancer', 'endometrial ca', 'liver cancer', 'gastric adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'gastric cancer']
32455818	['sarcoma', 'breast cancer', 'neuroblastoma', 'acute myeloid leukaemia', 'myeloid leukemia', 'leukemia', 'mammary carcinoma', 'melanoma', 'acute myeloid leukemia', 'ovarian cancer', 'prostate cancer', 'osteosarcoma', 'colon cancer', 'lymphoma', 'chondrosarcoma', 'breast carcinoma', 'b-cell lymphoma', 'lung carcinoma', 'gastric cancer']
30377341	['gastrointestinal', 'melanoma', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
32481570	['glioma', 'acute promyelocytic leukemia', 'malignant pleural mesothelioma', 'melanoma', 'mesothelioma', 'breast cancer', 'neuroblastoma', 'leukemia', 'pancreatic adenocarcinoma', 'b-cell lymphoma', 'rectal cancer', 'lymphoma', 'colorectal cancer', 'pancreatic cancer', 'renal cell carcinoma', 'malignant melanoma', 'pancreatic ductal adenocarcinoma']
32668616	['sarcoma', 'hepatocellular carcinoma', 'prostate cancer', 'gastrointestinal', 'breast cancer', 'colonic adenocarcinoma', 'bladder cancer', 'colon cancer', 'nasopharyngeal carcinoma', 'desmoid tumor', 'colorectal cancer', 'rectal cancer', 'gastric cancer', 'ovarian cancer']
30377341	['gastrointestinal', 'melanoma', 'nsclc', 'pancreatic tumor', 'pancreatic adenocarcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
29233930	['colorectal cancer', 'rectal cancer', 'breast cancer', 'lung cancer']
31110329	['pancreatic tumor', 'mucinous adenocarcinoma', 'pancreatic adenocarcinoma', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
32403357	['ovarian carcinoma', 'primary peritoneal cancer', 'breast carcinoma', 'endometrial cancer', 'fallopian tube cancer', 'breast cancer', 'endometrial ca', 'colorectal cancer', 'rectal cancer', 'ovarian cancer']
28250048	['sarcoma', 'hepatocellular carcinoma', 'multiple myeloma', 'melanoma', 'breast cancer', 'colon cancer', 'colorectal adenocarcinoma', 'leukemia', 'b-cell lymphoma', 'colon carcinoma', 'lymphoma', 'gastric adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'myeloma', 'rectal adenocarcinoma', 'lung cancer']
31500168	['small cell lung cancer', 'squamous cell carcinoma', 'pancreatic cancer', 'melanoma', 'lung cancer', 'pancreatic tumor', 'colon cancer', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'lung squamous cell carcinoma', 'metastatic cancer', 'colon carcinoma']
29233930	['small cell lung cancer', 'ovarian cancer', 'breast cancer', 'melanoma', 'non-small cell lung cancer', 'colorectal cancer', 'rectal cancer', 'lung cancer']
32481570	['pancreatic cancer', 'pancreatic tumor', 'lung carcinoma', 'non-small cell lung carcinoma', ' tam ', 'melanoma', 'renal cell carcinoma', 'pancreatic ductal adenocarcinoma']
31110329	['rectal cancer', 'pancreatic adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
28383487	['ovarian carcinoma', 'neuroendocrine tumor', 'melanoma', 'breast cancer', 'pancreatic tumor', 'liver cancer', 'pancreatic adenocarcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma']
32455818	['lymphoblastic leukemia', 'multiple myeloma', 'acute lymphoblastic leukemia', 'breast cancer', 'brain tumors', 'leukemia', 'melanoma', 'myeloma', 'retinoblastoma', 'ovarian cancer', 'colon carcinoma', 'lung cancer', 'prostate cancer', 'nsclc', 'non-small cell lung cancer', 'colon cancer', 'small cell lung cancer', 'hepatocellular carcinoma', 'chronic lymphocytic leukemia', 'pancreatic cancer', 'glioblastoma', 'gastric cancer', 'gastric carcinoma']
29233930	['colorectal cancer', 'rectal cancer', 'breast cancer', 'colon cancer']
30866995	['multiple myeloma', 'gastrointestinal', 'mantle cell lymphoma', 'renal cell carcinoma', 'lymphoma', 'papillary adenocarcinoma', 'myeloma', 'gastric cancer']
29233930	['colorectal cancer', 'rectal cancer', 'breast cancer', 'colon cancer']
31500168	['sarcoma', 'prostate cancer', 'squamous cell carcinoma', 'gastrointestinal', 'kidney cancer', 'breast cancer', 'carcinoma of the head and neck', 'osteosarcoma', 'bladder cancer', 'colon cancer', 'head and neck cancer', 'colorectal cancer', 'rectal cancer', 'squamous cell carcinoma of the head and neck', 'neck cancer', 'lung cancer']
32403357	['ovarian carcinoma', 'sarcoma', 'primary peritoneal cancer', 'breast cancer', 'carcinosarcoma', 'mammary tumor', 'ovarian cancer']
31500168	['ovarian neoplasm', 'squamous cell carcinoma', 'breast cancer', 'bladder cancer', 'leukemia', 'non-small cell lung carcinoma', 'lung cancer', 'ovarian cancer', 'ovarian carcinoma', 'prostate cancer', 'kidney cancer', 'nsclc', 'childhood leukemia', 'rectal cancer', 'adenocarcinoma of the pancreas', 'squamous cell cancer', 'pancreatic adenocarcinoma', 'small cell lung cancer', 'head and neck squamous cell carcinoma', 'fallopian tube cancer', 'colorectal cancer', 'lung carcinoma']
28250048	['gastrointestinal', 'breast cancer', 'melanoma', 'colon cancer', 'colorectal adenocarcinoma', 'epithelial cancer', 'colorectal cancer', 'rectal cancer', 'rectal adenocarcinoma', 'lung cancer']
32668616	['glioma', 'gastrointestinal', 'colon cancer', 'rectal cancer', 'colorectal cancer', 'pancreatic cancer', 'colon adenocarcinoma', 'lung cancer']
29233930	['colorectal cancer', 'rectal cancer', 'colon cancer']
33462395	['squamous cell carcinoma', 'cervical cancer']
33353933	['mammary cancer', 'breast carcinoma', 'ductal carcinoma in situ', 'dcis', 'breast cancer', 'mammary carcinoma', 'breast tumor', 'lung adenocarcinoma', 'mammary tumor']
29228735	['liver cancer', 'gastric cancer', 'colon cancer']
33353933	['small cell lung cancer', 'mammary cancer', 'prostate cancer', 'breast cancer', 'non-small cell lung cancer', 'lymphoma', 'mammary tumor', 'breast tumor', 'lung cancer']
33344921	['breast cancer', 'brain tumors', 'bladder cancer', 'colorectal adenocarcinoma', 'malt lymphoma', 'melanoma', 'pancreatic ductal adenocarcinoma', 'breast tumor', 'lung cancer', 'gallbladder cancer', 'rectal cancer', 'esophageal cancer', 'colon cancer', 'lymphoma', 'rectal adenocarcinoma', 'gastrointestinal', 'gastric adenocarcinoma', 'colorectal cancer', 'pancreatic cancer', 'gastric cancer']
33462395	['squamous carcinoma', 'cervical cancer']
29233930	['breast cancer', 'melanoma', 'colon cancer', 'colorectal cancer', 'rectal cancer', 'lung cancer']
31110329	['pancreatic cancer', 'nsclc', 'pancreatic tumor', 'colon cancer', 'pancreatic adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer']
27813496	['colorectal cancer', 'rectal cancer']
30866995	['multiple myeloma', 'pancreatic cancer', 'gastrointestinal', 'mantle cell lymphoma', 'esophageal cancer', 'stomach cancer', 'renal cell carcinoma', 'lymphoma', 'gastric adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'myeloma', 'gastric cancer', 'gastric carcinoma']
27813496	['colorectal cancer', 'rectal cancer', 'colon cancer']
29768500	['inflammatory breast cancer', 'breast cancer', 'breast tumor']
29228735	['lymphoblastic leukemia', 'breast carcinoma', 'acute lymphoblastic leukemia', 'breast cancer', 'colon cancer', 'liver cancer', 'leukemia', 'colorectal cancer', 'rectal cancer', 'gastric cancer', 'gastric carcinoma']
29233930	['colorectal cancer', 'rectal cancer', 'colon cancer', 'gastrointestinal']
29228735	['gastric cancer', 'colon cancer']
28250048	['hepatocellular carcinoma', 'acute leukemia', 'gastrointestinal', 'lung cancer', 'colon cancer', 'leukemia', 'lymphoma', 'burkitt lymphoma', 'colorectal cancer', 'rectal cancer', 'myeloma', 'colon adenocarcinoma', 'colon carcinoma']
30455465	['nsclc', 'lung adenocarcinoma', 'lung cancer']
29768500	['inflammatory breast cancer', 'breast cancer', 'prostate cancer']
30455465	['nsclc', 'lung adenocarcinoma', 'lung cancer']
29768500	['inflammatory breast cancer', 'breast cancer', 'inflammatory breast carcinoma', 'breast carcinoma']
32455818	['sarcoma', 'merkel cell carcinoma', 'multiple myeloma', 'squamous cell carcinoma', 'rhabdomyosarcoma', 'breast cancer', 'myeloid leukemia', 'leukemia', 'acute myeloid leukemia', 'melanoma', 'myeloma', 'lung cancer', 'pancreatic cancer', 'osteosarcoma', 'non-small cell lung cancer', 'rectal cancer', 'myelogenous leukemia', 'lymphoma', 'cervical cancer', 'small cell lung cancer', 'chronic lymphocytic leukemia', 'colorectal cancer', 'acute myelogenous leukemia', 'uveal melanoma', 'glioblastoma', 'lung squamous cell carcinoma']
29768500	['inflammatory breast cancer', "ewing's sarcoma", 'breast cancer', 'sarcoma']
33462395	['esophageal cancer', 'diffuse large b-cell lymphoma', 'head and neck cancer', 'b-cell lymphoma', 'lymphoma', 'glioblastoma', 'neck cancer', 'cervical cancer', 'ovarian cancer']
28250048	['colorectal cancer', 'rectal cancer', 'breast cancer', 'colon cancer']
30455465	['nsclc', 'lung adenocarcinoma', 'lung cancer']
29768500	['small cell lung cancer', 'gastrointestinal', 'primary liver cancer', 'breast cancer', 'diffuse large b-cell lymphoma', 'liver cancer', 'b-cell lymphoma', 'lymphoma', 'inflammatory breast cancer', 'breast tumor', 'primary breast cancer', 'lung cancer']
30636933	['sarcoma', 'hepatocellular carcinoma', 'chronic myelogenous leukemia', ' cml ', 'cholangiocarcinoma', 'acute myeloid leukemia', 'melanoma', 'breast cancer', 'intrahepatic cholangiocarcinoma', 'myeloid leukemia', 'leukemia', 'lymphoma', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'myelogenous leukemia', ' aml ', 'lung cancer']
29768500	['inflammatory breast cancer', 'pancreatic cancer', 'primary liver cancer', 'breast cancer', 'liver cancer', 'colorectal cancer', 'rectal cancer']
30636933	['sarcoma', 'multiple myeloma', 'breast cancer', 'bladder cancer', 'myeloid leukemia', 'leukemia', 'acute myeloid leukemia', 'melanoma', 'myeloma', 'lung adenocarcinoma', 'lung cancer', 'prostate cancer', 'pancreatic tumor', 'non-small cell lung cancer', 'rectal cancer', 'renal cell carcinoma', ' aml ', 'esophageal cancer', 'liposarcoma', 'synovial sarcoma', 'colon cancer', 'epithelial cancer', 'lymphoma', 'small cell lung cancer', 'breast carcinoma', 'gastrointestinal', 'colorectal cancer', 'cervical neoplasm', 'myxoid/round cell liposarcoma']
30866995	['small cell lung cancer', 'stomach cancer', 'colon cancer', 'diffuse large b-cell lymphoma', 'gastric carcinoma', 'b-cell lymphoma', 'non-small cell lung cancer', 'lymphoma', 'gastric adenocarcinoma', 'gastric cancer', 'lung cancer']
31641103	['ovarian carcinoma', 'breast cancer', 'prostate cancer', 'colon carcinoma']
25970777	['breast cancer', 'breast tumor', 'mammary tumor']
31905723	['sarcoma', 'cholangiocarcinoma', 'squamous cell carcinoma', 'breast cancer', ' tam ', 'melanoma', 'hodgkin lymphoma', 'lung cancer', 'glioma', 'mammary cancer', 'prostate cancer', 'nsclc', 'non-small cell lung cancer', 'rectal cancer', 'malignant melanoma', 'intrahepatic cholangiocarcinoma', 'colon cancer', 'lymphoma', 'cervical cancer', 'small cell lung cancer', 'head and neck squamous cell carcinoma', 'mucosal melanoma', 'colorectal cancer', 'pancreatic cancer', 'glioblastoma', 'non-hodgkin lymphoma']
25970777	['breast cancer', 'breast tumor', 'mammary tumor']
31641103	['leukemia', 'prostate cancer', 'metastatic cancer']
30455465	['glioma', 'gastric cancer', 'hepatocellular carcinoma', 'prostate cancer', 'breast cancer', 'lung cancer', 'leukemia', 'pancreatic adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'breast tumor', 'lung adenocarcinoma', 'ovarian cancer']
31073170	['breast cancer', 'breast adenocarcinoma', 'colon cancer', 'breast tumor', 'lung cancer']
27813496	['prostate cancer', 'gastrointestinal', 'prostate carcinoma', 'breast cancer', 'colon cancer', 'colorectal adenocarcinoma', 'colorectal cancer', 'rectal cancer', 'rectal adenocarcinoma', 'colon carcinoma']
28383487	['pancreatic carcinoma', 'melanoma', 'breast cancer', 'pancreatic tumor', 'pancreatic adenocarcinoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma']
32455818	['lymphoblastic leukemia', 'multiple myeloma', 'myelodysplastic', 'acute lymphoblastic leukemia', 'breast cancer', 'myeloid leukemia', 'leukemia', 'acute myeloid leukemia', 'hodgkin lymphoma', 'melanoma', 'myeloma', 'lung cancer', 'hematologic cancer', 'myelodysplastic syndrome', 'myelogenous leukemia', 'myelofibrosis', 'lymphoma', 'small cell lung cancer', 'acute leukemia', 'gastrointestinal', 'acute myelogenous leukemia', 'non-hodgkin lymphoma', 'lymphoid cancer']
25970777	['breast cancer', 'mammary tumor']
32455818	['multiple myeloma', 'myeloid leukemia', 'leukemia', 'lymphoma', 'acute myeloid leukemia', 'myeloma']
31641103	['head and neck squamous cell carcinoma', 'squamous cell carcinoma', 'prostate cancer', 'breast cancer', 'leukemia', 'prostate adenocarcinoma', 'lymphoma', 'melanoma', 'glioblastoma', 'lung cancer']
27813496	['colorectal cancer', 'rectal cancer', 'breast cancer', 'colon cancer']
33349639	['gastrointestinal', 'colon cancer', 'leukemia', 'colon adenocarcinoma', 'colon carcinoma']
29569246	['small cell lung cancer', 'nsclc', 'lung adenocarcinoma', 'lung cancer']
28297567	['prostate cancer']
33353933	['small cell lung cancer', 'prostate cancer', 'lung adenocarcinoma', 'breast cancer', 'lung cancer', 'leukemia', 'lymphoma', 'acute myelogenous leukemia', 'myelogenous leukemia', 'breast tumor', 'gastric cancer', 'mammary tumor']
29569246	['small cell lung cancer', 'prostate cancer', 'nsclc', 'breast cancer', 'lung adenocarcinoma', 'lung cancer']
32699299	['b-cell chronic lymphocytic leukaemia', 'lymphocytic leukaemia', 'chronic lymphocytic leukaemia', 'colon cancer', 'leukemia']
31073170	['breast cancer', 'osteosarcoma', 'sarcoma']
32071280	['lymphoblastic leukemia', 'acute lymphoblastic leukemia', 'breast cancer', 'leukemia', 'breast tumor']
29569246	['small cell lung cancer', 'prostate cancer', 'squamous cell carcinoma', 'adenoid cystic carcinoma', 'primary liver cancer', 'nsclc', 'nasopharyngeal carcinoma', 'liver cancer', 'colorectal cancer', 'rectal cancer', 'lung squamous cell carcinoma', 'lung cancer']
28297567	['squamous carcinoma', 'prostate cancer', 'glioblastoma', 'breast cancer']
32071280	['breast cancer']
30926792	['colorectal cancer', 'rectal cancer', 'lymphoma']
32071280	['glioma', 'sarcoma', 'breast cancer', 'osteosarcoma', 'breast tumor']
28297567	['breast cancer']
32071280	['glioma', 'sarcoma', 'breast cancer', 'osteosarcoma', 'myeloid leukemia', 'leukemia', 'pancreatic cancer']
33458620	['sarcoma', 'prostate cancer', 'breast cancer', 'colon cancer', 'kaposi sarcoma', 'renal cell carcinoma']
30926792	['colorectal cancer', 'rectal cancer', 'ovarian cancer', 'colon cancer']
33385163	['breast cancer']
32291413	['pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'pancreatic adenocarcinoma', 'lung cancer']
30636933	['sarcoma', 'multiple myeloma', 'myeloid leukemia', 'leukemia', 'acute myeloid leukemia', 'melanoma', 'myeloma', 'lung cancer', 'ovarian cancer', 'pancreatic tumor', 'non-small cell lung cancer', 'rectal cancer', 'myelogenous leukemia', 'esophageal cancer', 'liposarcoma', 'synovial sarcoma', 'epithelial cancer', 'lymphoma', 'small cell lung cancer', 'hepatocellular carcinoma', 'chronic myelogenous leukemia', 'breast carcinoma', 'gastrointestinal', 'colorectal cancer', 'glioblastoma', 'cervical neoplasm', 'myxoid/round cell liposarcoma']
33385163	['breast cancer']
32291413	['pancreatic carcinoma', 'neuroblastoma', 'pancreatic adenocarcinoma', 'lymphoma', 'pancreatic cancer']
33385163	['pancreatic cancer', 'breast cancer']
33349639	['squamous cell carcinoma', 'colon cancer', 'head and neck cancer', 'skin squamous cell carcinoma', 'colorectal cancer', 'rectal cancer', 'neck cancer']
32071280	['lymphoblastic leukemia', 'prostate cancer', 'breast carcinoma', 'acute lymphoblastic leukemia', 'breast cancer', 'childhood acute lymphoblastic leukemia', 'leukemia', 'mammary carcinoma', 'mammary tumor', 'pancreatic cancer', ' aml ', 'lung cancer']
30636933	['acute lymphoblastic leukaemia', 'multiple myeloma', 'lymphoblastic leukaemia', 'b-cell lymphoma', 'lymphoma', 'myeloma']
32071280	['leukemia', 'breast cancer']
33349639	['colorectal cancer', 'rectal cancer', 'lymphoma', 'colon cancer']
33385163	['prostate cancer', 'breast carcinoma', 'thyroid neoplasm', 'cervical cancer', 'breast cancer', 'pancreatic cancer', 'primary breast cancer', 'esophageal cancer', 'lung cancer']
26844272	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
31481748	['glioma', 'breast carcinoma', 'bladder carcinoma', 'breast cancer', 'nsclc', 'anaplastic thyroid carcinoma', 'lung carcinoma', 'malignant glioma']
26844272	['colorectal cancer', 'rectal cancer', 'gastrointestinal']
32619702	['colon cancer', 'lung adenocarcinoma', 'lung cancer']
31433989	['sarcoma', 'liposarcoma', 'prostate cancer', 'epithelial cancer', 'colorectal adenocarcinoma', ' tam ', 'pancreatic cancer', 'rectal adenocarcinoma']
30926792	['wilms tumor', 'hepatocellular carcinoma', 'prostate cancer', 'gastrointestinal', 'melanoma', 'breast cancer', 'colon cancer', 'colon carcinoma', 'lymphoma', 'colorectal cancer', 'rectal cancer', 'glioblastoma', 'cutaneous melanoma', 'gastric cancer', 'ovarian cancer']
31481748	['glioma', 'ovarian cancer', 'breast cancer', 'malignant glioma', 'glioblastoma', 'lung cancer']
25970777	['breast carcinoma', 'breast cancer', 'mammary carcinoma', 'breast tumor', 'mammary tumor']
33144576	['sarcoma', 'prostate cancer', 'synovial sarcoma', 'bladder cancer', 'endometrioid carcinoma', 'ovarian clear cell carcinoma', 'prostate adenocarcinoma', 'renal cell carcinoma', 'rhabdoid tumor', 'lung adenocarcinoma']
28424071	['colorectal cancer', 'rectal cancer', 'colon carcinoma', 'colon cancer']
33144576	['sarcoma', ' rb ', 'prostate cancer', 'synovial sarcoma', 'neuroblastoma', 'leukemia', 'prostate adenocarcinoma', 'melanoma', 'glioblastoma']
28424071	['adenocarcinoma of the colon', 'colon carcinoma', 'colon cancer']
33144576	['prostate carcinoma', 'prostate cancer', 'prostate adenocarcinoma', 'neuroendocrine neoplasm']
28424071	['colorectal cancer', 'rectal cancer', 'colon cancer']
32291413	['ovarian carcinoma', 'squamous carcinoma', 'pancreatic neuroendocrine carcinoma', 'endometrial carcinoma', 'breast cancer', 'endometrial ca', 'neuroblastoma', 'pancreatic tumor', 'epithelial cancer', 'pancreatic adenocarcinoma', 'lymphoma', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma']
